id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugzv5cSmLGhhq5LXhJF4AaABAg	0	2	2019-04-15 21:54:42	hamsandwich 25	Yo I&#39;m pumped. Trump 2020 LET&#39;S GO!	UC0IFvO04ACoP0Za5UzNH1eg	http://www.youtube.com/channel/UC0IFvO04ACoP0Za5UzNH1eg	0		
UgyvTSUoNL729YlBRoV4AaABAg	0	1	2019-04-15 21:53:43	Tom McDaniel71	This is why Trump is the best POTUS ever and why he&#39;ll win in 2020 <a href="http://www.youtube.com/results?search_query=%23Trump2020">#Trump2020</a> 👍😎🇺🇸💯🇺🇸👊 yeah I&#39;m a Pewdiepie fan	UCkvoa-QfpGqjqk10My9a-GQ	http://www.youtube.com/channel/UCkvoa-QfpGqjqk10My9a-GQ	0		
UgxVQ-ldWKNxsAKdfpF4AaABAg	0	1	2019-04-15 21:43:29	Roger Dat	Lock em up and we&#39;ll talk!	UCW5yIZ9PiNB3yYruR6nrAcQ	http://www.youtube.com/channel/UCW5yIZ9PiNB3yYruR6nrAcQ	0		
UgxBKU_Ohfj8ddv1kup4AaABAg	0	1	2019-04-15 21:42:36	Otterstone Gamer	Well you got my vote. Time to Keep America Great Again	UCDt84e_TlfzuyTsle39PCgA	http://www.youtube.com/channel/UCDt84e_TlfzuyTsle39PCgA	0		
UgxRFzlNhB_fZjdSKax4AaABAg	0	2	2019-04-15 21:40:46	G 4 D FLOW	Our HERO DONALD .J. TRUMP 👍	UC-M2QAzGdTRYuDL6ws2Yr7A	http://www.youtube.com/channel/UC-M2QAzGdTRYuDL6ws2Yr7A	0		
Ugwu9BTIaXWKFbWgddh4AaABAg	0	2	2019-04-15 21:39:15	Tsundere Loli \OwO/	Make liberals cry again. <a href="http://www.youtube.com/results?search_query=%23MAGA2020">#MAGA2020</a>	UC-ROmhuFRMd7G6bjUn1XueA	http://www.youtube.com/channel/UC-ROmhuFRMd7G6bjUn1XueA	0		
UgzqX5LpfInznclgu6p4AaABAg	0	0	2019-04-15 21:37:28	John Jack	WOW !!!!!.. GOD bless great America and it&#39;s wonderful president Mr.Donald Trump the greatest America&#39;s president ever..Who did many great things for America and the American people while the others did&#39;nt!!!!!	UCwZsXEqbp5aquwvkbpxTtNg	http://www.youtube.com/channel/UCwZsXEqbp5aquwvkbpxTtNg	0		
UgxswDg8oeIatOclNEx4AaABAg	0	3	2019-04-15 21:37:24	Outrageous Pumpking	Sucks how I’m not old enough to vote	UCTkiJeUfMPJzsqcoWgbM4Qw	http://www.youtube.com/channel/UCTkiJeUfMPJzsqcoWgbM4Qw	0		
UgzVhaeoQuam_KqaZ1B4AaABAg	0	3	2019-04-15 21:35:51	pookie pie	Wish I could vote! I would vote for him	UCTY47vin_GKEYlE1IoYBBeQ	http://www.youtube.com/channel/UCTY47vin_GKEYlE1IoYBBeQ	0		
Ugw2kEjdhBzasqgnUP94AaABAg	0	3	2019-04-15 21:34:39	Robert Reilly	President Trump 🇺🇸 The American People&#39;s President 🇺🇸✝️GOD Bless America and President Trump 2020 Celebrate America&#39;s Victory of Greatest President Ever 🇺🇸 Who Fought to Give America back to the People.	UCfZcpLbak4tc3Ki1bWCsHPw	http://www.youtube.com/channel/UCfZcpLbak4tc3Ki1bWCsHPw	0		
UgwEuuAfsIvk5TvMDsV4AaABAg	0	1	2019-04-15 21:32:13	Exp Bot	Real leadership is looking to the past and saying “I won”	UC9rEgtZ8Iqrv1roP0jJupRA	http://www.youtube.com/channel/UC9rEgtZ8Iqrv1roP0jJupRA	0		
UgzImVOQfYdd4g9CPpB4AaABAg	1	1	2019-04-15 21:31:32	aaron rotz	4th gen dem that left the party and won’t go back. Thank you Mr. President.	UCJd72kUHuMeocia53ojCjnQ	http://www.youtube.com/channel/UCJd72kUHuMeocia53ojCjnQ	0		
UgzImVOQfYdd4g9CPpB4AaABAg.8tl9Ibhoh488tlO1OApwPD		0	2019-04-15 23:40:15	Norman Rambo	Aaron rotz, welcome to the happy party. We don't like violence, we love our neighbor, and we love our Creator God. Welcome friend. God bless	UCUC8eAs8DJYWV-MZSQtOg6g	http://www.youtube.com/channel/UCUC8eAs8DJYWV-MZSQtOg6g	1	UgzImVOQfYdd4g9CPpB4AaABAg	aaron rotz
